area,statistic,age_category,quantity,State
Shortland,Eligible participants,30-34 years,8069.0,New South Wales
Shortland,Participation rate (%),30-34 years,75.5,New South Wales
Shortland,Total participants,35-39 years,5989.0,New South Wales
Shortland,Eligible participants,35-39 years,7951.0,New South Wales
Shortland,Participation rate (%),35-39 years,75.3,New South Wales
Shortland,Total participants,40-44 years,6360.0,New South Wales
Shortland,Eligible participants,40-44 years,8365.0,New South Wales
Shortland,Participation rate (%),40-44 years,76.0,New South Wales
Shortland,Total participants,45-49 years,7511.0,New South Wales
Shortland,Eligible participants,45-49 years,9416.0,New South Wales
Shortland,Participation rate (%),45-49 years,79.8,New South Wales
Shortland,Total participants,50-54 years,7445.0,New South Wales
Shortland,Eligible participants,50-54 years,9067.0,New South Wales
Shortland,Participation rate (%),50-54 years,82.1,New South Wales
Shortland,Total participants,55-59 years,8354.0,New South Wales
Shortland,Eligible participants,55-59 years,9774.0,New South Wales
Shortland,Participation rate (%),55-59 years,85.5,New South Wales
Shortland,Total participants,60-64 years,8194.0,New South Wales
Shortland,Eligible participants,60-64 years,9202.0,New South Wales
Shortland,Participation rate (%),60-64 years,89.0,New South Wales
Shortland,Total participants,65-69 years,7846.0,New South Wales
Shortland,Eligible participants,65-69 years,8658.0,New South Wales
Shortland,Participation rate (%),65-69 years,90.6,New South Wales
Shortland,Total participants,70-74 years,7386.0,New South Wales
Shortland,Eligible participants,70-74 years,8054.0,New South Wales
Shortland,Participation rate (%),70-74 years,91.7,New South Wales
Shortland,Total participants,75-79 years,5262.0,New South Wales
Shortland,Eligible participants,75-79 years,5737.0,New South Wales
Shortland,Participation rate (%),75-79 years,91.7,New South Wales
Shortland,Total participants,80-84 years,3652.0,New South Wales
Shortland,Eligible participants,80-84 years,4079.0,New South Wales
Shortland,Participation rate (%),80-84 years,89.5,New South Wales
Shortland,Total participants,85 years and over,3166.0,New South Wales
Shortland,Eligible participants,85 years and over,3773.0,New South Wales
Shortland,Participation rate (%),85 years and over,83.9,New South Wales
Shortland,Total participants,Age or gender ndf,665.0,New South Wales
Shortland,Eligible participants,Age or gender ndf,788.0,New South Wales
Shortland,Participation rate (%),Age or gender ndf,84.4,New South Wales
Shortland,Total participants,Total Persons,92546.0,New South Wales
Shortland,Eligible participants,Total Persons,112221.0,New South Wales
Shortland,Participation rate (%),Total Persons,82.5,New South Wales
Sydney,Total participants,18-19 years,1133.0,New South Wales
Sydney,Eligible participants,18-19 years,1415.0,New South Wales
Sydney,Participation rate (%),18-19 years,80.1,New South Wales
Sydney,Total participants,20-24 years,6064.0,New South Wales
Sydney,Eligible participants,20-24 years,7704.0,New South Wales
Sydney,Participation rate (%),20-24 years,78.7,New South Wales
Sydney,Total participants,25-29 years,12877.0,New South Wales
Sydney,Eligible participants,25-29 years,15793.0,New South Wales
Sydney,Participation rate (%),25-29 years,81.5,New South Wales
Sydney,Total participants,30-34 years,13685.0,New South Wales
Sydney,Eligible participants,30-34 years,17373.0,New South Wales
Sydney,Participation rate (%),30-34 years,78.8,New South Wales
Sydney,Total participants,35-39 years,11001.0,New South Wales
Sydney,Eligible participants,35-39 years,14281.0,New South Wales
Sydney,Participation rate (%),35-39 years,77.0,New South Wales
Sydney,Total participants,40-44 years,8416.0,New South Wales
Sydney,Eligible participants,40-44 years,10697.0,New South Wales
Sydney,Participation rate (%),40-44 years,78.7,New South Wales
Sydney,Total participants,45-49 years,7715.0,New South Wales
Sydney,Eligible participants,45-49 years,9458.0,New South Wales
Sydney,Participation rate (%),45-49 years,81.6,New South Wales
Sydney,Total participants,50-54 years,6515.0,New South Wales
Sydney,Eligible participants,50-54 years,7898.0,New South Wales
Sydney,Participation rate (%),50-54 years,82.5,New South Wales
Sydney,Total participants,55-59 years,6006.0,New South Wales
Sydney,Eligible participants,55-59 years,7203.0,New South Wales
Sydney,Participation rate (%),55-59 years,83.4,New South Wales
Sydney,Total participants,60-64 years,5150.0,New South Wales
Sydney,Eligible participants,60-64 years,6155.0,New South Wales
Sydney,Participation rate (%),60-64 years,83.7,New South Wales
Sydney,Total participants,65-69 years,4321.0,New South Wales
Sydney,Eligible participants,65-69 years,5056.0,New South Wales
Sydney,Participation rate (%),65-69 years,85.5,New South Wales
Sydney,Total participants,70-74 years,3154.0,New South Wales
Sydney,Eligible participants,70-74 years,3677.0,New South Wales
Sydney,Participation rate (%),70-74 years,85.8,New South Wales
Sydney,Total participants,75-79 years,1942.0,New South Wales
Sydney,Eligible participants,75-79 years,2363.0,New South Wales
Sydney,Participation rate (%),75-79 years,82.2,New South Wales
Sydney,Total participants,80-84 years,1308.0,New South Wales
Sydney,Eligible participants,80-84 years,1682.0,New South Wales
Sydney,Participation rate (%),80-84 years,77.8,New South Wales
Sydney,Total participants,85 years and over,1026.0,New South Wales
Sydney,Eligible participants,85 years and over,1491.0,New South Wales
Sydney,Participation rate (%),85 years and over,68.8,New South Wales
Sydney,Total participants,Age or gender ndf,837.0,New South Wales
Sydney,Eligible participants,Age or gender ndf,997.0,New South Wales
Sydney,Participation rate (%),Age or gender ndf,84.0,New South Wales
Sydney,Total participants,Total Persons,91150.0,New South Wales
Sydney,Eligible participants,Total Persons,113243.0,New South Wales
Sydney,Participation rate (%),Total Persons,80.5,New South Wales
Warringah,Total participants,18-19 years,2266.0,New South Wales
Warringah,Eligible participants,18-19 years,2637.0,New South Wales
Warringah,Participation rate (%),18-19 years,85.9,New South Wales
Warringah,Total participants,20-24 years,5582.0,New South Wales
Warringah,Eligible participants,20-24 years,6762.0,New South Wales
Warringah,Participation rate (%),20-24 years,82.5,New South Wales
Warringah,Total participants,25-29 years,5730.0,New South Wales
Warringah,Eligible participants,25-29 years,7195.0,New South Wales
Warringah,Participation rate (%),25-29 years,79.6,New South Wales
Warringah,Total participants,30-34 years,6693.0,New South Wales
Warringah,Eligible participants,30-34 years,8427.0,New South Wales
Warringah,Participation rate (%),30-34 years,79.4,New South Wales
Warringah,Total participants,35-39 years,7762.0,New South Wales
Warringah,Eligible participants,35-39 years,9750.0,New South Wales
Warringah,Participation rate (%),35-39 years,79.6,New South Wales
Warringah,Total participants,40-44 years,8400.0,New South Wales
Warringah,Eligible participants,40-44 years,10517.0,New South Wales
Warringah,Participation rate (%),40-44 years,79.9,New South Wales
Warringah,Total participants,45-49 years,8772.0,New South Wales
Warringah,Eligible participants,45-49 years,10649.0,New South Wales
Warringah,Participation rate (%),45-49 years,82.4,New South Wales
Warringah,Total participants,50-54 years,7997.0,New South Wales
Warringah,Eligible participants,50-54 years,9406.0,New South Wales
Warringah,Participation rate (%),50-54 years,85.0,New South Wales
Warringah,Total participants,55-59 years,7266.0,New South Wales
Warringah,Eligible participants,55-59 years,8402.0,New South Wales
Warringah,Participation rate (%),55-59 years,86.5,New South Wales
Warringah,Total participants,60-64 years,6164.0,New South Wales
Warringah,Eligible participants,60-64 years,7030.0,New South Wales
Warringah,Participation rate (%),60-64 years,87.7,New South Wales
Warringah,Total participants,65-69 years,5800.0,New South Wales
Warringah,Eligible participants,65-69 years,6449.0,New South Wales
Warringah,Participation rate (%),65-69 years,89.9,New South Wales
Warringah,Total participants,70-74 years,5153.0,New South Wales
Warringah,Eligible participants,70-74 years,5647.0,New South Wales
Warringah,Participation rate (%),70-74 years,91.3,New South Wales
Warringah,Total participants,75-79 years,3570.0,New South Wales
Warringah,Eligible participants,75-79 years,3926.0,New South Wales
Warringah,Participation rate (%),75-79 years,90.9,New South Wales
Warringah,Total participants,80-84 years,2373.0,New South Wales
Warringah,Eligible participants,80-84 years,2658.0,New South Wales
Warringah,Participation rate (%),80-84 years,89.3,New South Wales
Warringah,Total participants,85 years and over,2692.0,New South Wales
Warringah,Eligible participants,85 years and over,3282.0,New South Wales
Warringah,Participation rate (%),85 years and over,82.0,New South Wales
Warringah,Total participants,Age or gender ndf,611.0,New South Wales
Warringah,Eligible participants,Age or gender ndf,724.0,New South Wales
Warringah,Participation rate (%),Age or gender ndf,84.4,New South Wales
Warringah,Total participants,Total Persons,86831.0,New South Wales
Warringah,Eligible participants,Total Persons,103461.0,New South Wales
Warringah,Participation rate (%),Total Persons,83.9,New South Wales
Watson,Total participants,18-19 years,2387.0,New South Wales
Watson,Eligible participants,18-19 years,3058.0,New South Wales
Watson,Participation rate (%),18-19 years,78.1,New South Wales
Watson,Total participants,20-24 years,6958.0,New South Wales
Watson,Eligible participants,20-24 years,9287.0,New South Wales
Watson,Participation rate (%),20-24 years,74.9,New South Wales
Watson,Total participants,25-29 years,6384.0,New South Wales
Watson,Eligible participants,25-29 years,8844.0,New South Wales
Watson,Participation rate (%),25-29 years,72.2,New South Wales
Watson,Total participants,30-34 years,7028.0,New South Wales
Watson,Eligible participants,30-34 years,9824.0,New South Wales
Watson,Participation rate (%),30-34 years,71.5,New South Wales
Watson,Total participants,35-39 years,7069.0,New South Wales
Watson,Eligible participants,35-39 years,9813.0,New South Wales
Watson,Participation rate (%),35-39 years,72.0,New South Wales
Watson,Total participants,40-44 years,6926.0,New South Wales
Watson,Eligible participants,40-44 years,9263.0,New South Wales
Watson,Participation rate (%),40-44 years,74.8,New South Wales
Watson,Total participants,45-49 years,7157.0,New South Wales
Watson,Eligible participants,45-49 years,9395.0,New South Wales
Watson,Participation rate (%),45-49 years,76.2,New South Wales
Watson,Total participants,50-54 years,7384.0,New South Wales
Watson,Eligible participants,50-54 years,9410.0,New South Wales
Watson,Participation rate (%),50-54 years,78.5,New South Wales
Watson,Total participants,55-59 years,6912.0,New South Wales
Watson,Eligible participants,55-59 years,8744.0,New South Wales
Watson,Participation rate (%),55-59 years,79.0,New South Wales
Watson,Total participants,60-64 years,6070.0,New South Wales
Watson,Eligible participants,60-64 years,7493.0,New South Wales
Watson,Participation rate (%),60-64 years,81.0,New South Wales
Watson,Total participants,65-69 years,5236.0,New South Wales
Watson,Eligible participants,65-69 years,6261.0,New South Wales
Watson,Participation rate (%),65-69 years,83.6,New South Wales
Watson,Total participants,70-74 years,4272.0,New South Wales
Watson,Eligible participants,70-74 years,5008.0,New South Wales
Watson,Participation rate (%),70-74 years,85.3,New South Wales
Watson,Total participants,75-79 years,3391.0,New South Wales
Watson,Eligible participants,75-79 years,4009.0,New South Wales
Watson,Participation rate (%),75-79 years,84.6,New South Wales
Watson,Total participants,80-84 years,2498.0,New South Wales
Watson,Eligible participants,80-84 years,3057.0,New South Wales
Watson,Participation rate (%),80-84 years,81.7,New South Wales
Watson,Total participants,85 years and over,2325.0,New South Wales
Watson,Eligible participants,85 years and over,3098.0,New South Wales
Watson,Participation rate (%),85 years and over,75.0,New South Wales
Watson,Total participants,Age or gender ndf,283.0,New South Wales
Watson,Eligible participants,Age or gender ndf,350.0,New South Wales
Watson,Participation rate (%),Age or gender ndf,80.9,New South Wales
Watson,Total participants,Total Persons,82280.0,New South Wales
Watson,Eligible participants,Total Persons,106914.0,New South Wales
Watson,Participation rate (%),Total Persons,77.0,New South Wales
Wentworth,Total participants,18-19 years,1708.0,New South Wales
Wentworth,Eligible participants,18-19 years,2003.0,New South Wales
Wentworth,Participation rate (%),18-19 years,85.3,New South Wales
Wentworth,Total participants,20-24 years,5137.0,New South Wales
Wentworth,Eligible participants,20-24 years,6204.0,New South Wales
Wentworth,Participation rate (%),20-24 years,82.8,New South Wales
Wentworth,Total participants,25-29 years,7777.0,New South Wales
Wentworth,Eligible participants,25-29 years,9600.0,New South Wales
Wentworth,Participation rate (%),25-29 years,81.0,New South Wales
Wentworth,Total participants,30-34 years,9179.0,New South Wales
Wentworth,Eligible participants,30-34 years,11611.0,New South Wales
Wentworth,Participation rate (%),30-34 years,79.1,New South Wales
Wentworth,Total participants,35-39 years,8932.0,New South Wales
Wentworth,Eligible participants,35-39 years,11399.0,New South Wales
Wentworth,Participation rate (%),35-39 years,78.4,New South Wales
Wentworth,Total participants,40-44 years,7969.0,New South Wales
Wentworth,Eligible participants,40-44 years,10125.0,New South Wales
Wentworth,Participation rate (%),40-44 years,78.7,New South Wales
Wentworth,Total participants,45-49 years,7757.0,New South Wales
Wentworth,Eligible participants,45-49 years,9507.0,New South Wales
Wentworth,Participation rate (%),45-49 years,81.6,New South Wales
Wentworth,Total participants,50-54 years,6600.0,New South Wales
Wentworth,Eligible participants,50-54 years,7854.0,New South Wales
Wentworth,Participation rate (%),50-54 years,84.0,New South Wales
Wentworth,Total participants,55-59 years,6346.0,New South Wales
Wentworth,Eligible participants,55-59 years,7366.0,New South Wales
Wentworth,Participation rate (%),55-59 years,86.2,New South Wales
Wentworth,Total participants,60-64 years,5582.0,New South Wales
Wentworth,Eligible participants,60-64 years,6363.0,New South Wales
Wentworth,Participation rate (%),60-64 years,87.7,New South Wales
Wentworth,Total participants,65-69 years,5509.0,New South Wales
Wentworth,Eligible participants,65-69 years,6269.0,New South Wales
Wentworth,Participation rate (%),65-69 years,87.9,New South Wales
Wentworth,Total participants,70-74 years,4614.0,New South Wales
Wentworth,Eligible participants,70-74 years,5229.0,New South Wales
Wentworth,Participation rate (%),70-74 years,88.2,New South Wales
Wentworth,Total participants,75-79 years,3161.0,New South Wales
Wentworth,Eligible participants,75-79 years,3602.0,New South Wales
Wentworth,Participation rate (%),75-79 years,87.8,New South Wales
Wentworth,Total participants,80-84 years,2161.0,New South Wales
Wentworth,Eligible participants,80-84 years,2530.0,New South Wales
Wentworth,Participation rate (%),80-84 years,85.4,New South Wales
Wentworth,Total participants,85 years and over,2627.0,New South Wales
Wentworth,Eligible participants,85 years and over,3388.0,New South Wales
Wentworth,Participation rate (%),85 years and over,77.5,New South Wales
Wentworth,Total participants,Age or gender ndf,792.0,New South Wales
Wentworth,Eligible participants,Age or gender ndf,922.0,New South Wales
Wentworth,Participation rate (%),Age or gender ndf,85.9,New South Wales
Wentworth,Total participants,Total Persons,85851.0,New South Wales
Wentworth,Eligible participants,Total Persons,103972.0,New South Wales
Wentworth,Participation rate (%),Total Persons,82.6,New South Wales
Werriwa,Total participants,18-19 years,2874.0,New South Wales
Werriwa,Eligible participants,18-19 years,3910.0,New South Wales
Werriwa,Participation rate (%),18-19 years,73.5,New South Wales
Werriwa,Total participants,20-24 years,8070.0,New South Wales
Werriwa,Eligible participants,20-24 years,11420.0,New South Wales
Werriwa,Participation rate (%),20-24 years,70.7,New South Wales
Werriwa,Total participants,25-29 years,7020.0,New South Wales
Werriwa,Eligible participants,25-29 years,10231.0,New South Wales
Werriwa,Participation rate (%),25-29 years,68.6,New South Wales
Werriwa,Total participants,30-34 years,7082.0,New South Wales
Werriwa,Eligible participants,30-34 years,10475.0,New South Wales
Werriwa,Participation rate (%),30-34 years,67.6,New South Wales
Werriwa,Total participants,35-39 years,7245.0,New South Wales
Werriwa,Eligible participants,35-39 years,10689.0,New South Wales
Werriwa,Participation rate (%),35-39 years,67.8,New South Wales
Werriwa,Total participants,40-44 years,7507.0,New South Wales
Werriwa,Eligible participants,40-44 years,10542.0,New South Wales
Werriwa,Participation rate (%),40-44 years,71.2,New South Wales
Werriwa,Total participants,45-49 years,7964.0,New South Wales
Werriwa,Eligible participants,45-49 years,10740.0,New South Wales
Werriwa,Participation rate (%),45-49 years,74.2,New South Wales
Werriwa,Total participants,50-54 years,7973.0,New South Wales
Werriwa,Eligible participants,50-54 years,10448.0,New South Wales
Werriwa,Participation rate (%),50-54 years,76.3,New South Wales
Werriwa,Total participants,55-59 years,7575.0,New South Wales
Werriwa,Eligible participants,55-59 years,9681.0,New South Wales
Werriwa,Participation rate (%),55-59 years,78.2,New South Wales
Werriwa,Total participants,60-64 years,6253.0,New South Wales
Werriwa,Eligible participants,60-64 years,7744.0,New South Wales
Werriwa,Participation rate (%),60-64 years,80.7,New South Wales
Werriwa,Total participants,65-69 years,5017.0,New South Wales
Werriwa,Eligible participants,65-69 years,5986.0,New South Wales
Werriwa,Participation rate (%),65-69 years,83.8,New South Wales
Werriwa,Total participants,70-74 years,3541.0,New South Wales
Werriwa,Eligible participants,70-74 years,4205.0,New South Wales
Werriwa,Participation rate (%),70-74 years,84.2,New South Wales
Werriwa,Total participants,75-79 years,2521.0,New South Wales
Werriwa,Eligible participants,75-79 years,3016.0,New South Wales
Werriwa,Participation rate (%),75-79 years,83.6,New South Wales
Werriwa,Total participants,80-84 years,1544.0,New South Wales
Werriwa,Eligible participants,80-84 years,1898.0,New South Wales
Werriwa,Participation rate (%),80-84 years,81.3,New South Wales
Werriwa,Total participants,85 years and over,1195.0,New South Wales
Werriwa,Eligible participants,85 years and over,1595.0,New South Wales
Werriwa,Participation rate (%),85 years and over,74.9,New South Wales
Werriwa,Total participants,Age or gender ndf,314.0,New South Wales
Werriwa,Eligible participants,Age or gender ndf,397.0,New South Wales
Werriwa,Participation rate (%),Age or gender ndf,79.1,New South Wales
Werriwa,Total participants,Total Persons,83695.0,New South Wales
Werriwa,Eligible participants,Total Persons,112977.0,New South Wales
Werriwa,Participation rate (%),Total Persons,74.1,New South Wales
Whitlam,Total participants,18-19 years,2601.0,New South Wales
Whitlam,Eligible participants,18-19 years,3418.0,New South Wales
Whitlam,Participation rate (%),18-19 years,76.1,New South Wales
Whitlam,Total participants,20-24 years,6485.0,New South Wales
Whitlam,Eligible participants,20-24 years,9035.0,New South Wales
Whitlam,Participation rate (%),20-24 years,71.8,New South Wales
Whitlam,Total participants,25-29 years,5939.0,New South Wales
Whitlam,Eligible participants,25-29 years,8370.0,New South Wales
Whitlam,Participation rate (%),25-29 years,71.0,New South Wales
Whitlam,Total participants,30-34 years,6168.0,New South Wales
Whitlam,Eligible participants,30-34 years,8534.0,New South Wales
Whitlam,Participation rate (%),30-34 years,72.3,New South Wales
Whitlam,Total participants,35-39 years,6114.0,New South Wales
Whitlam,Eligible participants,35-39 years,8435.0,New South Wales
Whitlam,Participation rate (%),35-39 years,72.5,New South Wales
Whitlam,Total participants,40-44 years,6699.0,New South Wales
Whitlam,Eligible participants,40-44 years,9024.0,New South Wales
Whitlam,Participation rate (%),40-44 years,74.2,New South Wales
Whitlam,Total participants,45-49 years,7514.0,New South Wales
Whitlam,Eligible participants,45-49 years,9615.0,New South Wales
Whitlam,Participation rate (%),45-49 years,78.1,New South Wales
Whitlam,Total participants,50-54 years,7698.0,New South Wales
Whitlam,Eligible participants,50-54 years,9575.0,New South Wales
Whitlam,Participation rate (%),50-54 years,80.4,New South Wales
Whitlam,Total participants,55-59 years,8343.0,New South Wales
Whitlam,Eligible participants,55-59 years,9941.0,New South Wales
Whitlam,Participation rate (%),55-59 years,83.9,New South Wales
Whitlam,Total participants,60-64 years,7902.0,New South Wales
Whitlam,Eligible participants,60-64 years,9025.0,New South Wales
Whitlam,Participation rate (%),60-64 years,87.6,New South Wales
Whitlam,Total participants,65-69 years,7898.0,New South Wales
Whitlam,Eligible participants,65-69 years,8861.0,New South Wales
Whitlam,Participation rate (%),65-69 years,89.1,New South Wales
Whitlam,Total participants,70-74 years,7154.0,New South Wales
Whitlam,Eligible participants,70-74 years,7921.0,New South Wales
Whitlam,Participation rate (%),70-74 years,90.3,New South Wales
Whitlam,Total participants,75-79 years,5239.0,New South Wales
Whitlam,Eligible participants,75-79 years,5819.0,New South Wales
Whitlam,Participation rate (%),75-79 years,90.0,New South Wales
Whitlam,Total participants,80-84 years,3456.0,New South Wales
Whitlam,Eligible participants,80-84 years,3945.0,New South Wales
Whitlam,Participation rate (%),80-84 years,87.6,New South Wales
Whitlam,Total participants,85 years and over,2817.0,New South Wales
Whitlam,Eligible participants,85 years and over,3445.0,New South Wales
Whitlam,Participation rate (%),85 years and over,81.8,New South Wales
Whitlam,Total participants,Age or gender ndf,690.0,New South Wales
Whitlam,Eligible participants,Age or gender ndf,818.0,New South Wales
Whitlam,Participation rate (%),Age or gender ndf,84.4,New South Wales
Whitlam,Total participants,Total Persons,92717.0,New South Wales
Whitlam,Eligible participants,Total Persons,115781.0,New South Wales
Whitlam,Participation rate (%),Total Persons,80.1,New South Wales
Aston,Total participants,18-19 years,2276.0,Victoria
Aston,Eligible participants,18-19 years,2757.0,Victoria
Aston,Participation rate (%),18-19 years,82.6,Victoria
Aston,Total participants,20-24 years,6815.0,Victoria
Aston,Eligible participants,20-24 years,8801.0,Victoria
Aston,Participation rate (%),20-24 years,77.4,Victoria
Aston,Total participants,25-29 years,6020.0,Victoria
Aston,Eligible participants,25-29 years,7896.0,Victoria
Aston,Participation rate (%),25-29 years,76.2,Victoria
Aston,Total participants,30-34 years,5634.0,Victoria
Aston,Eligible participants,30-34 years,7391.0,Victoria
Aston,Participation rate (%),30-34 years,76.2,Victoria
Aston,Total participants,35-39 years,5814.0,Victoria
Aston,Eligible participants,35-39 years,7613.0,Victoria
Aston,Participation rate (%),35-39 years,76.4,Victoria
Aston,Total participants,40-44 years,5970.0,Victoria
Aston,Eligible participants,40-44 years,7652.0,Victoria
Aston,Participation rate (%),40-44 years,78.0,Victoria
Aston,Total participants,45-49 years,6883.0,Victoria
Aston,Eligible participants,45-49 years,8527.0,Victoria
Aston,Participation rate (%),45-49 years,80.7,Victoria
Aston,Total participants,50-54 years,7073.0,Victoria
Aston,Eligible participants,50-54 years,8531.0,Victoria
Aston,Participation rate (%),50-54 years,82.9,Victoria
Aston,Total participants,55-59 years,7421.0,Victoria
Aston,Eligible participants,55-59 years,8795.0,Victoria
Aston,Participation rate (%),55-59 years,84.4,Victoria
Aston,Total participants,60-64 years,6742.0,Victoria
Aston,Eligible participants,60-64 years,7730.0,Victoria
Aston,Participation rate (%),60-64 years,87.2,Victoria
Aston,Total participants,65-69 years,5898.0,Victoria
Aston,Eligible participants,65-69 years,6654.0,Victoria
Aston,Participation rate (%),65-69 years,88.6,Victoria
Aston,Total participants,70-74 years,4357.0,Victoria
Aston,Eligible participants,70-74 years,4914.0,Victoria
Aston,Participation rate (%),70-74 years,88.7,Victoria
Aston,Total participants,75-79 years,3165.0,Victoria
Aston,Eligible participants,75-79 years,3572.0,Victoria
Aston,Participation rate (%),75-79 years,88.6,Victoria
Aston,Total participants,80-84 years,1947.0,Victoria
Aston,Eligible participants,80-84 years,2271.0,Victoria
Aston,Participation rate (%),80-84 years,85.7,Victoria
Aston,Total participants,85 years and over,1691.0,Victoria
Aston,Eligible participants,85 years and over,2149.0,Victoria
Aston,Participation rate (%),85 years and over,78.7,Victoria
Aston,Total participants,Age or gender ndf,713.0,Victoria
Aston,Eligible participants,Age or gender ndf,830.0,Victoria
Aston,Participation rate (%),Age or gender ndf,85.9,Victoria
Aston,Total participants,Total Persons,78419.0,Victoria
Aston,Eligible participants,Total Persons,96083.0,Victoria
Aston,Participation rate (%),Total Persons,81.6,Victoria
Ballarat,Total participants,18-19 years,2448.0,Victoria
Ballarat,Eligible participants,18-19 years,3011.0,Victoria
Ballarat,Participation rate (%),18-19 years,81.3,Victoria
Ballarat,Total participants,20-24 years,6773.0,Victoria
Ballarat,Eligible participants,20-24 years,9388.0,Victoria
Ballarat,Participation rate (%),20-24 years,72.1,Victoria
Ballarat,Total participants,25-29 years,6569.0,Victoria
Ballarat,Eligible participants,25-29 years,9009.0,Victoria
Ballarat,Participation rate (%),25-29 years,72.9,Victoria
Ballarat,Total participants,30-34 years,6555.0,Victoria
Ballarat,Eligible participants,30-34 years,8682.0,Victoria
Ballarat,Participation rate (%),30-34 years,75.5,Victoria
Ballarat,Total participants,35-39 years,6636.0,Victoria
Ballarat,Eligible participants,35-39 years,8705.0,Victoria
Ballarat,Participation rate (%),35-39 years,76.2,Victoria
Ballarat,Total participants,40-44 years,7253.0,Victoria
Ballarat,Eligible participants,40-44 years,9178.0,Victoria
Ballarat,Participation rate (%),40-44 years,79.0,Victoria
Ballarat,Total participants,45-49 years,8119.0,Victoria
Ballarat,Eligible participants,45-49 years,10055.0,Victoria
Ballarat,Participation rate (%),45-49 years,80.7,Victoria
Ballarat,Total participants,50-54 years,7949.0,Victoria
Ballarat,Eligible participants,50-54 years,9538.0,Victoria
Ballarat,Participation rate (%),50-54 years,83.3,Victoria
Ballarat,Total participants,55-59 years,8562.0,Victoria
Ballarat,Eligible participants,55-59 years,9998.0,Victoria
Ballarat,Participation rate (%),55-59 years,85.6,Victoria
Ballarat,Total participants,60-64 years,8198.0,Victoria
Ballarat,Eligible participants,60-64 years,9296.0,Victoria
Ballarat,Participation rate (%),60-64 years,88.2,Victoria
Ballarat,Total participants,65-69 years,7951.0,Victoria
Ballarat,Eligible participants,65-69 years,8840.0,Victoria
Ballarat,Participation rate (%),65-69 years,89.9,Victoria
Ballarat,Total participants,70-74 years,6179.0,Victoria
Ballarat,Eligible participants,70-74 years,6846.0,Victoria
Ballarat,Participation rate (%),70-74 years,90.3,Victoria
Ballarat,Total participants,75-79 years,4134.0,Victoria
Ballarat,Eligible participants,75-79 years,4569.0,Victoria
Ballarat,Participation rate (%),75-79 years,90.5,Victoria
Ballarat,Total participants,80-84 years,2824.0,Victoria
Ballarat,Eligible participants,80-84 years,3189.0,Victoria
Ballarat,Participation rate (%),80-84 years,88.6,Victoria
Ballarat,Total participants,85 years and over,2433.0,Victoria
Ballarat,Eligible participants,85 years and over,3064.0,Victoria
Ballarat,Participation rate (%),85 years and over,79.4,Victoria
Ballarat,Total participants,Age or gender ndf,768.0,Victoria
Ballarat,Eligible participants,Age or gender ndf,906.0,Victoria
Ballarat,Participation rate (%),Age or gender ndf,84.8,Victoria
Ballarat,Total participants,Total Persons,93351.0,Victoria
Ballarat,Eligible participants,Total Persons,114274.0,Victoria
Ballarat,Participation rate (%),Total Persons,81.7,Victoria
Batman,Total participants,18-19 years,1774.0,Victoria
Batman,Eligible participants,18-19 years,2118.0,Victoria
Batman,Participation rate (%),18-19 years,83.8,Victoria
Batman,Total participants,20-24 years,7001.0,Victoria
Batman,Eligible participants,20-24 years,8514.0,Victoria
Batman,Participation rate (%),20-24 years,82.2,Victoria
Batman,Total participants,25-29 years,9155.0,Victoria
Batman,Eligible participants,25-29 years,11081.0,Victoria
Batman,Participation rate (%),25-29 years,82.6,Victoria
Batman,Total participants,30-34 years,9777.0,Victoria
Batman,Eligible participants,30-34 years,11793.0,Victoria
Batman,Participation rate (%),30-34 years,82.9,Victoria
Batman,Total participants,35-39 years,9291.0,Victoria
Batman,Eligible participants,35-39 years,11105.0,Victoria
Batman,Participation rate (%),35-39 years,83.7,Victoria
Batman,Total participants,40-44 years,8766.0,Victoria
Batman,Eligible participants,40-44 years,10514.0,Victoria
Batman,Participation rate (%),40-44 years,83.4,Victoria
Batman,Total participants,45-49 years,9014.0,Victoria
Batman,Eligible participants,45-49 years,10800.0,Victoria
Batman,Participation rate (%),45-49 years,83.5,Victoria
Batman,Total participants,50-54 years,7444.0,Victoria
Batman,Eligible participants,50-54 years,8852.0,Victoria
Batman,Participation rate (%),50-54 years,84.1,Victoria
Batman,Total participants,55-59 years,6896.0,Victoria
Batman,Eligible participants,55-59 years,7993.0,Victoria
Batman,Participation rate (%),55-59 years,86.3,Victoria
Batman,Total participants,60-64 years,5862.0,Victoria
Batman,Eligible participants,60-64 years,6752.0,Victoria
Batman,Participation rate (%),60-64 years,86.8,Victoria
Batman,Total participants,65-69 years,4877.0,Victoria
Batman,Eligible participants,65-69 years,5565.0,Victoria
Batman,Participation rate (%),65-69 years,87.6,Victoria
Batman,Total participants,70-74 years,4137.0,Victoria
Batman,Eligible participants,70-74 years,4748.0,Victoria
Batman,Participation rate (%),70-74 years,87.1,Victoria
Batman,Total participants,75-79 years,3371.0,Victoria
Batman,Eligible participants,75-79 years,3923.0,Victoria
Batman,Participation rate (%),75-79 years,85.9,Victoria
Batman,Total participants,80-84 years,2763.0,Victoria
Batman,Eligible participants,80-84 years,3343.0,Victoria
Batman,Participation rate (%),80-84 years,82.7,Victoria
Batman,Total participants,85 years and over,2580.0,Victoria
Batman,Eligible participants,85 years and over,3398.0,Victoria
Batman,Participation rate (%),85 years and over,75.9,Victoria
